"","number_observations","reason","cohort_definition_id"
"1",941329,"Starting events",1
"2",560673,"Event washout",1
"3",560673,"In observation at cohort entry",1
"4",499920,"365 days of prior history",1
"5",499341,"Historical influenza",1
"6",493307,"Entry after 2020-09-01",1
"7",208042,"> 120 days follow-up",1
"8",196230,"First event only",1
"9",181815,"Historical COVID-19",1
"10",3056,"Starting events",3
"11",2763,"Event washout",3
"12",2763,"In observation at cohort entry",3
"13",2576,"365 days of prior history",3
"14",2559,"Historical influenza",3
"15",1845,"Entry after 2020-09-01",3
"16",1562,"> 120 days follow-up",3
"17",1493,"First event only",3
"18",1459,"Historical COVID-19",3
