"database","n_events","person_years","year_index","outcome"
"Pharmetrics",2136,1865694.7871321,2020,"IBD"
"Pharmetrics",7433,5742518.22861054,2021,"IBD"
"Pharmetrics",2023,1699974.98425736,2022,"IBD"
"Pharmetrics",62,1880700.73648186,2020,"Juvenile arthritis"
"Pharmetrics",176,5790385.86447639,2021,"Juvenile arthritis"
"Pharmetrics",53,1713773.59342916,2022,"Juvenile arthritis"
"Pharmetrics",7514,1849879.95345654,2020,"ME/CFS diagnosis"
"Pharmetrics",28326,5687980.3504449,2021,"ME/CFS diagnosis"
"Pharmetrics",7839,1684052.75838467,2022,"ME/CFS diagnosis"
"Pharmetrics",91842,1514265.51129363,2020,"ME/CFS symptoms"
"Pharmetrics",283212,4593345.63997262,2021,"ME/CFS symptoms"
"Pharmetrics",75011,1365213.62080767,2022,"ME/CFS symptoms"
"Pharmetrics",327,5791495.40041068,2021,"MIS"
"Pharmetrics",89,1714089.36344969,2022,"MIS"
"Pharmetrics",25600,1797231.1156742,2020,"POTS diagnosis"
"Pharmetrics",82689,5508923.6440794,2021,"POTS diagnosis"
"Pharmetrics",23729,1630873.7357974,2022,"POTS diagnosis"
"Pharmetrics",107456,1412561.58247775,2020,"POTS symptoms"
"Pharmetrics",334045,4264582.88295688,2021,"POTS symptoms"
"Pharmetrics",90562,1268279.69336071,2022,"POTS symptoms"
"Pharmetrics",3519,1856149.86173854,2020,"RA"
"Pharmetrics",11458,5711374.95687885,2021,"RA"
"Pharmetrics",3072,1691884.7063655,2022,"RA"
"Pharmetrics",747,1874994.49965777,2020,"SLE"
"Pharmetrics",1882,5771784.99657769,2021,"SLE"
"Pharmetrics",295,1708748.40520192,2022,"SLE"
"Pharmetrics",1418,1868527.79192334,2020,"T2DM"
"Pharmetrics",4201,5753017.21013005,2021,"T2DM"
"Pharmetrics",1076,1703047.14852841,2022,"T2DM"
