"database","n_events","person_years","year_index","outcome"
"AUSOM",44,130890.108145106,2020,"IBD"
"AUSOM",129,359633.284052019,2021,"IBD"
"AUSOM",143,264836.388774812,2022,"IBD"
"AUSOM",18,21873.6783025325,2023,"IBD"
"AUSOM",6,360905.237508556,2021,"Juvenile arthritis"
"AUSOM",10,266126.984257358,2022,"Juvenile arthritis"
"AUSOM",14,131223.592060233,2020,"ME/CFS diagnosis"
"AUSOM",33,360685.790554415,2021,"ME/CFS diagnosis"
"AUSOM",64,265892.147843943,2022,"ME/CFS diagnosis"
"AUSOM",5,22014.2751540041,2023,"ME/CFS diagnosis"
"AUSOM",269,128612.509240246,2020,"ME/CFS symptoms"
"AUSOM",592,353076.960985626,2021,"ME/CFS symptoms"
"AUSOM",757,259160.229979466,2022,"ME/CFS symptoms"
"AUSOM",86,21236.3175906913,2023,"ME/CFS symptoms"
"AUSOM",58,130862.915811088,2020,"POTS diagnosis"
"AUSOM",181,359642.836413415,2021,"POTS diagnosis"
"AUSOM",192,264959.811088296,2022,"POTS diagnosis"
"AUSOM",27,21906.0287474333,2023,"POTS diagnosis"
"AUSOM",735,123621.073237509,2020,"POTS symptoms"
"AUSOM",2478,338726.264202601,2021,"POTS symptoms"
"AUSOM",2464,247061.393566051,2022,"POTS symptoms"
"AUSOM",313,19933.3716632444,2023,"POTS symptoms"
"AUSOM",99,129156.59137577,2020,"RA"
"AUSOM",325,354552.733744011,2021,"RA"
"AUSOM",278,260060.780287474,2022,"RA"
"AUSOM",21,21247.0061601643,2023,"RA"
"AUSOM",14,130858.655715264,2020,"SLE"
"AUSOM",56,359581.590691307,2021,"SLE"
"AUSOM",51,264768.38329911,2022,"SLE"
"AUSOM",18,130949.754962355,2020,"T2DM"
"AUSOM",66,359856.777549624,2021,"T2DM"
"AUSOM",53,265065.451060917,2022,"T2DM"
