"database","n_events","person_years","care_sector","outcome"
"CPRDGOLD",2077,5296204.81314168,"primary care","IBD"
"CPRDGOLD",35,5329301.60438056,"primary care","Juvenile arthritis"
"CPRDGOLD",993,5315135.72073922,"primary care","ME/CFS diagnosis"
"CPRDGOLD",28989,4553028.81040383,"primary care","ME/CFS symptoms"
"CPRDGOLD",3377,5291398.05065024,"primary care","POTS diagnosis"
"CPRDGOLD",1895,5300804.10951403,"primary care","RA"
"CPRDGOLD",151,5326194.13826146,"primary care","SLE"
"CPRDGOLD",1238,5309348.52566735,"primary care","T2DM"
"CPRDGOLD",44852,4258909.68104038,"primary care","POTS symptoms"
"Pharmetrics",11592,9308188,"primary care","IBD"
"Pharmetrics",291,9384860.19438741,"primary care","Juvenile arthritis"
"Pharmetrics",43679,9221913.06228611,"primary care","ME/CFS diagnosis"
"Pharmetrics",450065,7472824.77207392,"primary care","ME/CFS symptoms"
"Pharmetrics",417,9386691.00068446,"primary care","MIS"
"Pharmetrics",132018,8937028.49555099,"primary care","POTS diagnosis"
"Pharmetrics",18049,9259409.52498289,"primary care","RA"
"Pharmetrics",2924,9355527.90143737,"primary care","SLE"
"Pharmetrics",532063,6945424.15879535,"primary care","POTS symptoms"
"Pharmetrics",6695,9324592.15058179,"primary care","T2DM"
"IPCI",1620,2741005.68925394,"primary care","IBD"
"IPCI",47,2757249.99589322,"primary care","Juvenile arthritis"
"IPCI",433,2753401.30047912,"primary care","ME/CFS diagnosis"
"IPCI",57867,2273980.61875428,"primary care","ME/CFS symptoms"
"IPCI",2200,2739721.0294319,"primary care","POTS diagnosis"
"IPCI",2002,2735277.99315537,"primary care","RA"
"IPCI",426,2751954.52977413,"primary care","T2DM"
"IPCI",90826,1992187.63312799,"primary care","POTS symptoms"
"CORIVA",462,987054.973305955,"primary care","IBD"
"CORIVA",93,989192.375085558,"primary care","Juvenile arthritis"
"CORIVA",662,988757.141683778,"primary care","ME/CFS diagnosis"
"CORIVA",10579,943558.370978782,"primary care","ME/CFS symptoms"
"CORIVA",161,990314.726899384,"primary care","MIS"
"CORIVA",2879,976222.480492813,"primary care","POTS diagnosis"
"CORIVA",962,980267.063655031,"primary care","RA"
"CORIVA",52,989867.162217659,"primary care","SLE"
"CORIVA",15890,913621.574264203,"primary care","POTS symptoms"
"CORIVA",393,984917.059548255,"primary care","T2DM"
