"database","age","n_events","person_years","outcome"
"CPRDGOLD","19 to 40",785,1454402.84736482,"POTS diagnosis"
"CPRDGOLD","41 to 64",1168,1750492.47912389,"POTS diagnosis"
"CPRDGOLD","65 to 150",1194,1061845.01848049,"POTS diagnosis"
"CPRDGOLD","19 to 40",11664,1240464.56673511,"POTS symptoms"
"CPRDGOLD","19 to 40",247,1459595.43874059,"RA"
"CPRDGOLD","41 to 64",892,1752575.27173169,"RA"
"CPRDGOLD","65 to 150",756,1062531.3045859,"RA"
"CPRDGOLD","12 to 18",5,403221.817932923,"SLE"
"CPRDGOLD","19 to 40",52,1460685.64544832,"SLE"
"CPRDGOLD","41 to 64",60,1762227.27994524,"SLE"
"CPRDGOLD","65 to 150",33,1077226.67214237,"SLE"
"CPRDGOLD","0 to 6",106,311493.648186174,"T2DM"
"CPRDGOLD","41 to 64",15729,1346029.42915811,"POTS symptoms"
"CPRDGOLD","7 to 11",173,310351.997262149,"T2DM"
"CPRDGOLD","12 to 18",188,401385.023956194,"T2DM"
"CPRDGOLD","19 to 40",328,1454434.7871321,"T2DM"
"CPRDGOLD","41 to 64",311,1756605.7522245,"T2DM"
"CPRDGOLD","65 to 150",132,1075077.31690623,"T2DM"
"CPRDGOLD","65 to 150",13022,680069.171800137,"POTS symptoms"
"CPRDGOLD","0 to 6",6,311732.183436003,"IBD"
"CPRDGOLD","7 to 11",40,310995.540041068,"IBD"
"CPRDGOLD","12 to 18",150,402621.023956194,"IBD"
"CPRDGOLD","0 to 6",441,310059.033538672,"POTS symptoms"
"CPRDGOLD","19 to 40",748,1452753.77960301,"IBD"
"CPRDGOLD","41 to 64",744,1749346.01505818,"IBD"
"CPRDGOLD","65 to 150",389,1068756.27104723,"IBD"
"CPRDGOLD","7 to 11",6,311017.075975359,"Juvenile arthritis"
"CPRDGOLD","12 to 18",26,403044.169746749,"Juvenile arthritis"
"CPRDGOLD","0 to 6",5,311744.459958932,"ME/CFS diagnosis"
"CPRDGOLD","7 to 11",854,304658.143737166,"POTS symptoms"
"CPRDGOLD","7 to 11",14,311051.433264887,"ME/CFS diagnosis"
"CPRDGOLD","12 to 18",60,402967.367556468,"ME/CFS diagnosis"
"CPRDGOLD","19 to 40",304,1458133.72758385,"ME/CFS diagnosis"
"CPRDGOLD","41 to 64",497,1756645.60985626,"ME/CFS diagnosis"
"CPRDGOLD","65 to 150",113,1074593.12251882,"ME/CFS diagnosis"
"CPRDGOLD","0 to 6",1147,303353.932922656,"ME/CFS symptoms"
"CPRDGOLD","7 to 11",552,296942.866529774,"ME/CFS symptoms"
"CPRDGOLD","12 to 18",1849,374949.333333333,"ME/CFS symptoms"
"CPRDGOLD","19 to 40",9277,1267051.74537988,"ME/CFS symptoms"
"CPRDGOLD","41 to 64",9363,1447611.79466119,"ME/CFS symptoms"
"CPRDGOLD","12 to 18",3142,377629.336071184,"POTS symptoms"
"CPRDGOLD","65 to 150",6801,863119.137577002,"ME/CFS symptoms"
"CPRDGOLD","0 to 6",33,311483.006160164,"POTS diagnosis"
"CPRDGOLD","7 to 11",35,310747.296372348,"POTS diagnosis"
"CPRDGOLD","12 to 18",162,402427.403148528,"POTS diagnosis"
"CPRDGOLD","0 to 150",2077,5296204.81314168,"IBD"
"CPRDGOLD","0 to 150",35,5329301.60438056,"Juvenile arthritis"
"CPRDGOLD","0 to 150",993,5315135.72073922,"ME/CFS diagnosis"
"CPRDGOLD","0 to 150",28989,4553028.81040383,"ME/CFS symptoms"
"CPRDGOLD","0 to 150",3377,5291398.05065024,"POTS diagnosis"
"CPRDGOLD","0 to 150",1895,5300804.10951403,"RA"
"CPRDGOLD","0 to 150",151,5326194.13826146,"SLE"
"CPRDGOLD","0 to 150",1238,5309348.52566735,"T2DM"
"CPRDGOLD","0 to 150",44852,4258909.68104038,"POTS symptoms"
